<<,START,CSV,VER00,>>
EntityType,Name,Attribute,Value,Unit
<<Control>>,<<Solution>>,Time,1000,s
<<Control>>,<<Solution>>,Iteration,0,
<<Control>>,<<Solution>>,DataTime,999,s
<<Control>>,<<Solution>>,DataIteration,0,
ACU,ACU01,CoolantFlowRate,0.00372948,m^3/s
ACU,ACU01,CoolantMaximumFlowRate,0.00575,m^3/s
ACU,ACU01,CoolantTemperatureIn,12,C
ACU,ACU01,CoolantTemperatureOut,17.1185,C
ACU,ACU01,FanSpeed,100,%
Controller,Air Temperature Controller,DeadBand,1,C
Controller,Air Temperature Controller,Gain,10.6649,
Controller,Air Temperature Controller,GainScalingFactor,1,
Controller,Air Temperature Controller,InputSignal,17.9767,C
Controller,Air Temperature Controller,Output,87.013,%
Controller,Air Temperature Controller,SetPoint,18,C
ITEquipment,Server1,HeatPowerFactor,100,%
ITEquipment,Server10,HeatPowerFactor,100,%
ITEquipment,Server11,HeatPowerFactor,100,%
ITEquipment,Server12,HeatPowerFactor,100,%
ITEquipment,Server13,HeatPowerFactor,100,%
ITEquipment,Server14,HeatPowerFactor,100,%
ITEquipment,Server15,HeatPowerFactor,100,%
ITEquipment,Server16,HeatPowerFactor,100,%
ITEquipment,Server17,HeatPowerFactor,100,%
ITEquipment,Server18,HeatPowerFactor,100,%
ITEquipment,Server19,HeatPowerFactor,100,%
ITEquipment,Server2,HeatPowerFactor,100,%
ITEquipment,Server20,HeatPowerFactor,100,%
ITEquipment,Server21,HeatPowerFactor,100,%
ITEquipment,Server22,HeatPowerFactor,100,%
ITEquipment,Server23,HeatPowerFactor,100,%
ITEquipment,Server24,HeatPowerFactor,100,%
ITEquipment,Server25,HeatPowerFactor,100,%
ITEquipment,Server26,HeatPowerFactor,100,%
ITEquipment,Server27,HeatPowerFactor,100,%
ITEquipment,Server28,HeatPowerFactor,100,%
ITEquipment,Server29,HeatPowerFactor,100,%
ITEquipment,Server3,HeatPowerFactor,100,%
ITEquipment,Server30,HeatPowerFactor,100,%
ITEquipment,Server31,HeatPowerFactor,100,%
ITEquipment,Server32,HeatPowerFactor,100,%
ITEquipment,Server33,HeatPowerFactor,100,%
ITEquipment,Server34,HeatPowerFactor,100,%
ITEquipment,Server35,HeatPowerFactor,100,%
ITEquipment,Server36,HeatPowerFactor,100,%
ITEquipment,Server37,HeatPowerFactor,100,%
ITEquipment,Server38,HeatPowerFactor,100,%
ITEquipment,Server39,HeatPowerFactor,100,%
ITEquipment,Server4,HeatPowerFactor,100,%
ITEquipment,Server40,HeatPowerFactor,100,%
ITEquipment,Server41,HeatPowerFactor,100,%
ITEquipment,Server42,HeatPowerFactor,100,%
ITEquipment,Server43,HeatPowerFactor,100,%
ITEquipment,Server44,HeatPowerFactor,100,%
ITEquipment,Server45,HeatPowerFactor,100,%
ITEquipment,Server46,HeatPowerFactor,100,%
ITEquipment,Server47,HeatPowerFactor,100,%
ITEquipment,Server48,HeatPowerFactor,100,%
ITEquipment,Server49,HeatPowerFactor,100,%
ITEquipment,Server5,HeatPowerFactor,100,%
ITEquipment,Server50,HeatPowerFactor,100,%
ITEquipment,Server6,HeatPowerFactor,100,%
ITEquipment,Server7,HeatPowerFactor,100,%
ITEquipment,Server8,HeatPowerFactor,100,%
ITEquipment,Server9,HeatPowerFactor,100,%
Sensor,Average Return Air,Value,27.2566,C
Sensor,Average Supply Air,Value,17.9767,C
Sensor,back01,Value,32.3536,C
Sensor,back02,Value,32.3536,C
Sensor,back03,Value,32.3289,C
Sensor,back04,Value,32.389,C
Sensor,back05,Value,32.389,C
Sensor,back06,Value,32.5042,C
Sensor,back07,Value,32.3988,C
Sensor,back08,Value,32.3988,C
Sensor,back09,Value,32.3095,C
Sensor,back10,Value,32.6102,C
Sensor,back11,Value,32.5225,C
Sensor,back12,Value,32.9569,C
Sensor,back13,Value,32.9569,C
Sensor,back14,Value,32.7669,C
Sensor,back15,Value,32.575,C
Sensor,back16,Value,32.575,C
Sensor,back17,Value,32.5641,C
Sensor,back18,Value,32.4293,C
Sensor,back19,Value,32.4293,C
Sensor,back20,Value,32.2869,C
Sensor,back21,Value,32.5679,C
Sensor,back22,Value,33.018,C
Sensor,back23,Value,33.018,C
Sensor,back24,Value,32.8331,C
Sensor,back25,Value,32.6152,C
Sensor,back26,Value,32.6152,C
Sensor,back27,Value,32.5977,C
Sensor,back28,Value,32.4511,C
Sensor,back29,Value,32.4511,C
Sensor,back30,Value,32.3044,C
Sensor,back31,Value,32.6898,C
Sensor,back32,Value,33.2084,C
Sensor,back33,Value,33.2084,C
Sensor,back34,Value,33.0347,C
Sensor,back35,Value,32.7891,C
Sensor,back36,Value,32.7891,C
Sensor,back37,Value,32.7411,C
Sensor,back38,Value,32.5929,C
Sensor,back39,Value,32.5929,C
Sensor,back40,Value,32.4396,C
Sensor,back41,Value,32.7742,C
Sensor,back42,Value,32.439,C
Sensor,back43,Value,32.439,C
