CMDLINE c:\users\kangyifei\appdata\local\programs\python\python37\python.exe test_simulation.py
MEM 0.464844 1593524130.4789
MEM 11.312500 1593524130.5797
MEM 16.515625 1593524130.6804
MEM 21.289062 1593524130.7811
MEM 25.882812 1593524130.8819
MEM 28.523438 1593524130.9826
MEM 31.296875 1593524131.0833
MEM 37.730469 1593524131.1840
MEM 47.820312 1593524131.2848
MEM 48.097656 1593524131.3855
MEM 48.097656 1593524131.4862
MEM 48.097656 1593524131.5870
MEM 48.097656 1593524131.6877
MEM 48.167969 1593524131.7884
MEM 48.863281 1593524131.8892
MEM 53.398438 1593524131.9899
MEM 64.171875 1593524132.0906
MEM 87.101562 1593524132.1914
MEM 89.531250 1593524132.2921
MEM 89.601562 1593524132.3928
MEM 89.730469 1593524132.4935
MEM 91.898438 1593524132.5943
MEM 99.531250 1593524132.6950
MEM 108.222656 1593524132.7957
MEM 114.300781 1593524132.8965
MEM 121.007812 1593524132.9972
MEM 127.222656 1593524133.0979
MEM 129.214844 1593524133.1987
MEM 133.886719 1593524133.2994
MEM 137.062500 1593524133.4001
MEM 141.839844 1593524133.5009
MEM 145.640625 1593524133.6016
MEM 148.375000 1593524133.7023
MEM 150.906250 1593524133.8030
MEM 153.140625 1593524133.9038
MEM 156.628906 1593524134.0045
MEM 158.542969 1593524134.1052
MEM 158.542969 1593524134.2060
MEM 158.531250 1593524134.3067
MEM 158.523438 1593524134.4074
MEM 158.523438 1593524134.5082
MEM 158.523438 1593524134.6089
MEM 158.523438 1593524134.7096
MEM 158.523438 1593524134.8103
MEM 158.523438 1593524134.9111
MEM 158.523438 1593524135.0118
MEM 158.523438 1593524135.1126
MEM 158.523438 1593524135.2133
MEM 158.523438 1593524135.3140
MEM 158.523438 1593524135.4147
MEM 158.523438 1593524135.5155
MEM 158.523438 1593524135.6162
MEM 158.523438 1593524135.7169
MEM 162.558594 1593524135.8177
MEM 168.378906 1593524135.9184
MEM 175.121094 1593524136.0191
MEM 179.324219 1593524136.1198
MEM 184.417969 1593524136.2206
MEM 187.464844 1593524136.3213
MEM 191.734375 1593524136.4220
MEM 195.832031 1593524136.5228
MEM 202.718750 1593524136.6235
MEM 203.160156 1593524136.7242
MEM 206.511719 1593524136.8250
MEM 208.796875 1593524136.9257
MEM 209.343750 1593524137.0264
MEM 210.164062 1593524137.1272
MEM 211.339844 1593524137.2279
MEM 211.667969 1593524137.3286
MEM 217.894531 1593524137.4293
MEM 216.960938 1593524137.5301
MEM 217.160156 1593524137.6308
MEM 217.265625 1593524137.7315
MEM 217.507812 1593524137.8323
MEM 217.632812 1593524137.9330
MEM 217.800781 1593524138.0338
MEM 217.945312 1593524138.1345
MEM 218.105469 1593524138.2352
MEM 218.269531 1593524138.3359
MEM 218.445312 1593524138.4367
MEM 218.632812 1593524138.5374
MEM 218.757812 1593524138.6381
MEM 218.882812 1593524138.7388
MEM 219.007812 1593524138.8396
MEM 219.132812 1593524138.9403
MEM 219.273438 1593524139.0411
MEM 219.445312 1593524139.1418
MEM 219.632812 1593524139.2425
MEM 219.757812 1593524139.3432
MEM 219.945312 1593524139.4440
MEM 220.046875 1593524139.5447
MEM 220.257812 1593524139.6455
MEM 220.382812 1593524139.7461
MEM 220.507812 1593524139.8469
MEM 220.695312 1593524139.9476
MEM 220.816406 1593524140.0484
MEM 221.007812 1593524140.1491
MEM 221.195312 1593524140.2498
MEM 221.382812 1593524140.3505
MEM 221.507812 1593524140.4513
MEM 221.632812 1593524140.5520
MEM 221.757812 1593524140.6527
MEM 221.882812 1593524140.7535
MEM 221.945312 1593524140.8542
MEM 222.089844 1593524140.9549
MEM 222.257812 1593524141.0556
MEM 222.382812 1593524141.1564
MEM 222.507812 1593524141.2571
MEM 222.695312 1593524141.3578
MEM 222.777344 1593524141.4586
MEM 223.007812 1593524141.5593
MEM 223.132812 1593524141.6600
MEM 223.273438 1593524141.7608
MEM 223.445312 1593524141.8615
MEM 223.632812 1593524141.9622
MEM 223.757812 1593524142.0630
MEM 223.945312 1593524142.1637
MEM 224.042969 1593524142.2644
MEM 224.195312 1593524142.3651
MEM 224.382812 1593524142.4659
MEM 224.507812 1593524142.5666
MEM 224.632812 1593524142.6674
MEM 224.781250 1593524142.7681
MEM 224.945312 1593524142.8688
MEM 225.132812 1593524142.9696
MEM 225.257812 1593524143.0703
MEM 225.445312 1593524143.1710
MEM 225.566406 1593524143.2717
MEM 225.566406 1593524143.3724
MEM 225.757812 1593524143.4732
MEM 225.882812 1593524143.5739
MEM 225.914062 1593524143.6746
MEM 225.976562 1593524143.7754
MEM 226.089844 1593524143.8761
MEM 226.238281 1593524143.9768
MEM 226.414062 1593524144.0776
MEM 226.601562 1593524144.1783
MEM 226.726562 1593524144.2790
MEM 226.851562 1593524144.3798
MEM 226.976562 1593524144.4805
MEM 227.164062 1593524144.5812
MEM 227.226562 1593524144.6969
MEM 227.351562 1593524144.7976
MEM 227.503906 1593524144.8984
MEM 227.726562 1593524144.9991
MEM 227.851562 1593524145.0998
MEM 227.976562 1593524145.2006
MEM 228.085938 1593524145.3013
MEM 228.253906 1593524145.4020
MEM 228.476562 1593524145.5028
MEM 230.902344 1593524145.6035
MEM 232.027344 1593524145.7042
MEM 232.902344 1593524145.8049
MEM 233.460938 1593524145.9057
MEM 233.773438 1593524146.0064
MEM 233.890625 1593524146.1072
MEM 233.949219 1593524146.2079
MEM 234.062500 1593524146.3126
MEM 234.058594 1593524146.4133
MEM 234.054688 1593524146.5140
MEM 235.375000 1593524146.6148
MEM 235.445312 1593524146.7165
MEM 235.765625 1593524146.8172
MEM 236.011719 1593524146.9180
MEM 236.011719 1593524147.0187
MEM 236.265625 1593524147.1194
MEM 236.519531 1593524147.2202
MEM 236.781250 1593524147.3209
MEM 236.781250 1593524147.4216
MEM 236.781250 1593524147.5224
MEM 236.781250 1593524147.6231
MEM 229.535156 1593524147.7238
MEM 213.125000 1593524147.8246
